StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q2_4_TEXT,L13_1_x,L13_1_y,L13_2_x,L13_2_y,L13_3_x,L13_3_y,TH11_1_x,TH11_1_y,TH11_2_x,TH11_2_y,TH11_3_x,TH11_3_y,TH1_1_x,TH1_1_y,TH1_2_x,TH1_2_y,TH1_3_x,TH1_3_y,SP20_1_x,SP20_1_y,SP20_2_x,SP20_2_y,SP20_3_x,SP20_3_y,SP1_1_x,SP1_1_y,SP1_2_x,SP1_2_y,SP1_3_x,SP1_3_y,L1_1_x,L1_1_y,L1_2_x,L1_2_y,L1_3_x,L1_3_y,HI9_1_x,HI9_1_y,HI9_2_x,HI9_2_y,HI9_3_x,HI9_3_y,HI1_1_x,HI1_1_y,HI1_2_x,HI1_2_y,HI1_3_x,HI1_3_y
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,How old are you?,How do you describe yourself? - Selected Choice,How do you describe yourself? - Prefer to self-describe - Text,"In this study, you will be shown several advertisements. 

Please look at each image naturally and click the 3 specific areas that first caught your attention. - 1 - X","In this study, you will be shown several advertisements. 

Please look at each image naturally and click the 3 specific areas that first caught your attention. - 1 - Y","In this study, you will be shown several advertisements. 

Please look at each image naturally and click the 3 specific areas that first caught your attention. - 2 - X","In this study, you will be shown several advertisements. 

Please look at each image naturally and click the 3 specific areas that first caught your attention. - 2 - Y","In this study, you will be shown several advertisements. 

Please look at each image naturally and click the 3 specific areas that first caught your attention. - 3 - X","In this study, you will be shown several advertisements. 

Please look at each image naturally and click the 3 specific areas that first caught your attention. - 3 - Y",Please click the 3 specific areas that first caught your attention. - 1 - X,Please click the 3 specific areas that first caught your attention. - 1 - Y,Please click the 3 specific areas that first caught your attention. - 2 - X,Please click the 3 specific areas that first caught your attention. - 2 - Y,Please click the 3 specific areas that first caught your attention. - 3 - X,Please click the 3 specific areas that first caught your attention. - 3 - Y,Please click the 3 specific areas that first caught your attention. - 1 - X,Please click the 3 specific areas that first caught your attention. - 1 - Y,Please click the 3 specific areas that first caught your attention. - 2 - X,Please click the 3 specific areas that first caught your attention. - 2 - Y,Please click the 3 specific areas that first caught your attention. - 3 - X,Please click the 3 specific areas that first caught your attention. - 3 - Y,Please click the 3 specific areas that first caught your attention. - 1 - X,Please click the 3 specific areas that first caught your attention. - 1 - Y,Please click the 3 specific areas that first caught your attention. - 2 - X,Please click the 3 specific areas that first caught your attention. - 2 - Y,Please click the 3 specific areas that first caught your attention. - 3 - X,Please click the 3 specific areas that first caught your attention. - 3 - Y,Please click the 3 specific areas that first caught your attention. - 1 - X,Please click the 3 specific areas that first caught your attention. - 1 - Y,Please click the 3 specific areas that first caught your attention. - 2 - X,Please click the 3 specific areas that first caught your attention. - 2 - Y,Please click the 3 specific areas that first caught your attention. - 3 - X,Please click the 3 specific areas that first caught your attention. - 3 - Y,Please click the 3 specific areas that first caught your attention. - 1 - X,Please click the 3 specific areas that first caught your attention. - 1 - Y,Please click the 3 specific areas that first caught your attention. - 2 - X,Please click the 3 specific areas that first caught your attention. - 2 - Y,Please click the 3 specific areas that first caught your attention. - 3 - X,Please click the 3 specific areas that first caught your attention. - 3 - Y,Please click the 3 specific areas that first caught your attention. - 1 - X,Please click the 3 specific areas that first caught your attention. - 1 - Y,Please click the 3 specific areas that first caught your attention. - 2 - X,Please click the 3 specific areas that first caught your attention. - 2 - Y,Please click the 3 specific areas that first caught your attention. - 3 - X,Please click the 3 specific areas that first caught your attention. - 3 - Y,Please click the 3 specific areas that first caught your attention. - 1 - X,Please click the 3 specific areas that first caught your attention. - 1 - Y,Please click the 3 specific areas that first caught your attention. - 2 - X,Please click the 3 specific areas that first caught your attention. - 2 - Y,Please click the 3 specific areas that first caught your attention. - 3 - X,Please click the 3 specific areas that first caught your attention. - 3 - Y
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID10_4_TEXT""}","{""ImportId"":""QID1"",""point"":1,""coord"":""x""}","{""ImportId"":""QID1"",""point"":1,""coord"":""y""}","{""ImportId"":""QID1"",""point"":2,""coord"":""x""}","{""ImportId"":""QID1"",""point"":2,""coord"":""y""}","{""ImportId"":""QID1"",""point"":3,""coord"":""x""}","{""ImportId"":""QID1"",""point"":3,""coord"":""y""}","{""ImportId"":""QID2"",""point"":1,""coord"":""x""}","{""ImportId"":""QID2"",""point"":1,""coord"":""y""}","{""ImportId"":""QID2"",""point"":2,""coord"":""x""}","{""ImportId"":""QID2"",""point"":2,""coord"":""y""}","{""ImportId"":""QID2"",""point"":3,""coord"":""x""}","{""ImportId"":""QID2"",""point"":3,""coord"":""y""}","{""ImportId"":""QID3"",""point"":1,""coord"":""x""}","{""ImportId"":""QID3"",""point"":1,""coord"":""y""}","{""ImportId"":""QID3"",""point"":2,""coord"":""x""}","{""ImportId"":""QID3"",""point"":2,""coord"":""y""}","{""ImportId"":""QID3"",""point"":3,""coord"":""x""}","{""ImportId"":""QID3"",""point"":3,""coord"":""y""}","{""ImportId"":""QID4"",""point"":1,""coord"":""x""}","{""ImportId"":""QID4"",""point"":1,""coord"":""y""}","{""ImportId"":""QID4"",""point"":2,""coord"":""x""}","{""ImportId"":""QID4"",""point"":2,""coord"":""y""}","{""ImportId"":""QID4"",""point"":3,""coord"":""x""}","{""ImportId"":""QID4"",""point"":3,""coord"":""y""}","{""ImportId"":""QID5"",""point"":1,""coord"":""x""}","{""ImportId"":""QID5"",""point"":1,""coord"":""y""}","{""ImportId"":""QID5"",""point"":2,""coord"":""x""}","{""ImportId"":""QID5"",""point"":2,""coord"":""y""}","{""ImportId"":""QID5"",""point"":3,""coord"":""x""}","{""ImportId"":""QID5"",""point"":3,""coord"":""y""}","{""ImportId"":""QID6"",""point"":1,""coord"":""x""}","{""ImportId"":""QID6"",""point"":1,""coord"":""y""}","{""ImportId"":""QID6"",""point"":2,""coord"":""x""}","{""ImportId"":""QID6"",""point"":2,""coord"":""y""}","{""ImportId"":""QID6"",""point"":3,""coord"":""x""}","{""ImportId"":""QID6"",""point"":3,""coord"":""y""}","{""ImportId"":""QID7"",""point"":1,""coord"":""x""}","{""ImportId"":""QID7"",""point"":1,""coord"":""y""}","{""ImportId"":""QID7"",""point"":2,""coord"":""x""}","{""ImportId"":""QID7"",""point"":2,""coord"":""y""}","{""ImportId"":""QID7"",""point"":3,""coord"":""x""}","{""ImportId"":""QID7"",""point"":3,""coord"":""y""}","{""ImportId"":""QID8"",""point"":1,""coord"":""x""}","{""ImportId"":""QID8"",""point"":1,""coord"":""y""}","{""ImportId"":""QID8"",""point"":2,""coord"":""x""}","{""ImportId"":""QID8"",""point"":2,""coord"":""y""}","{""ImportId"":""QID8"",""point"":3,""coord"":""x""}","{""ImportId"":""QID8"",""point"":3,""coord"":""y""}"
17-04-2026 12:00,17-04-2026 12:00,0,174.168.133.191,100,29,1,17-04-2026 12:00,R_1VIUiDmzNH85o4U,,,,,42.2463,-70.9972,anonymous,EN,3,2,,734,635,296,676,204,1044,460,573,271,269,327,83,662,879,246,378,718,1132,589,189,645,415,397,376,497,436,272,383,303,60,215,524,602,360,265,324,1465,395,1129,365,949,414,111,451,445,314,601,181
19-04-2026 12:28,19-04-2026 12:30,0,128.197.28.161,100,110,1,19-04-2026 12:30,R_11jXjjVO4s8Nt5C,,,,,42.3464,-71.0975,anonymous,EN,2,2,,332,270,519,210,153,171,391,527,83,72,325,90,540,343,207,406,57,42,304,214,688,115,612,343,289,392,341,75,538,187,584,191,205,294,566,596,1463,238,1438,477,473,452,547,218,341,147,55,415
20-04-2026 17:06,20-04-2026 17:21,0,128.197.28.167,100,883,1,20-04-2026 17:21,R_54Gx6DtnTXYIiaH,,,,,42.3464,-71.0975,anonymous,EN,3,1,,172,179,226,683,415,829,422,501,76,62,199,601,201,387,629,890,719,1119,256,256,590,202,493,402,66,308,368,105,634,417,257,558,261,303,606,212,377,578,1132,416,1538,180,586,212,270,230,72,471
20-04-2026 17:51,20-04-2026 17:52,0,73.119.127.199,100,80,1,20-04-2026 17:52,R_6SIMhOkdAenUTu1,,,,,42.2904,-71.0712,anonymous,EN,2,2,,481,701,237,253,745,411,511,131,457,99,369,83,409,468,251,407,46,380,217,214,632,141,611,355,310,63,71,286,664,243,583,203,320,321,239,275,1504,199,1394,400,411,356,558,216,348,153,76,460
20-04-2026 18:31,20-04-2026 18:32,0,174.226.91.246,100,61,1,20-04-2026 18:32,R_1RAVJdrLqUQiQcF,,,,,42.3399,-71.1245,anonymous,EN,3,1,,305,429,207,691,114,188,109,72,455,546,219,430,191,357,643,378,698,1129,398,231,651,341,431,362,670,319,334,62,410,447,174,535,541,394,223,299,359,386,1028,402,1545,251,557,285,92,395,279,306
20-04-2026 20:39,20-04-2026 20:40,0,185.190.141.30,100,87,1,20-04-2026 20:40,R_3VhBcAXxwpV7cnn,,,,,42.3602,-71.0594,anonymous,EN,3,1,,140,176,434,707,708,388,115,62,424,531,282,293,336,319,387,682,709,1111,352,256,466,389,583,448,307,163,656,323,400,502,581,219,312,596,263,269,384,301,1525,224,450,596,348,141,92,403,551,240
20-04-2026 20:52,20-04-2026 20:53,0,71.232.150.52,100,63,1,20-04-2026 20:53,R_11m8hr6NYNCIPre,,,,,42.3474,-71.1582,anonymous,EN,2,5,,697,401,488,710,182,203,264,36,210,367,443,606,525,381,186,394,401,119,396,224,622,412,422,427,77,362,432,439,315,90,574,538,252,332,243,544,1182,386,1543,391,508,487,284,222,90,412,597,183
20-04-2026 20:53,20-04-2026 20:54,0,71.232.150.52,100,71,1,20-04-2026 20:54,R_17wYJ1Nwac5ZvKv,,,,,42.3474,-71.1582,anonymous,EN,2,2,,442,667,705,796,237,229,452,506,109,99,372,75,161,347,729,1132,450,840,560,221,336,292,627,469,481,490,358,297,429,37,201,578,275,309,596,544,1038,436,446,566,1518,125,74,398,603,199,361,165
