StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q2_4_TEXT,HI2_1_x,HI2_1_y,HI2_2_x,HI2_2_y,HI2_3_x,HI2_3_y,L2_1_x,L2_1_y,L2_2_x,L2_2_y,L2_3_x,L2_3_y,L12_1_x,L12_1_y,L12_2_x,L12_2_y,L12_3_x,L12_3_y,SP2_1_x,SP2_1_y,SP2_2_x,SP2_2_y,SP2_3_x,SP2_3_y,SP19_1_x,SP19_1_y,SP19_2_x,SP19_2_y,SP19_3_x,SP19_3_y,TH2_1_x,TH2_1_y,TH2_2_x,TH2_2_y,TH2_3_x,TH2_3_y,HI15_1_x,HI15_1_y,HI15_2_x,HI15_2_y,HI15_3_x,HI15_3_y,SP10_1_x,SP10_1_y,SP10_2_x,SP10_2_y,SP10_3_x,SP10_3_y
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,How old are you?,How do you describe yourself? - Selected Choice,How do you describe yourself? - Prefer to self-describe - Text,Please look at each image naturally and click 3 specific areas that first caught your attention. - 1 - X,Please look at each image naturally and click 3 specific areas that first caught your attention. - 1 - Y,Please look at each image naturally and click 3 specific areas that first caught your attention. - 2 - X,Please look at each image naturally and click 3 specific areas that first caught your attention. - 2 - Y,Please look at each image naturally and click 3 specific areas that first caught your attention. - 3 - X,Please look at each image naturally and click 3 specific areas that first caught your attention. - 3 - Y,Please click 3 specific areas that first caught your attention. - 1 - X,Please click 3 specific areas that first caught your attention. - 1 - Y,Please click 3 specific areas that first caught your attention. - 2 - X,Please click 3 specific areas that first caught your attention. - 2 - Y,Please click 3 specific areas that first caught your attention. - 3 - X,Please click 3 specific areas that first caught your attention. - 3 - Y,Please click 3 specific areas that first caught your attention. - 1 - X,Please click 3 specific areas that first caught your attention. - 1 - Y,Please click 3 specific areas that first caught your attention. - 2 - X,Please click 3 specific areas that first caught your attention. - 2 - Y,Please click 3 specific areas that first caught your attention. - 3 - X,Please click 3 specific areas that first caught your attention. - 3 - Y,Please click 3 specific areas that first caught your attention. - 1 - X,Please click 3 specific areas that first caught your attention. - 1 - Y,Please click 3 specific areas that first caught your attention. - 2 - X,Please click 3 specific areas that first caught your attention. - 2 - Y,Please click 3 specific areas that first caught your attention. - 3 - X,Please click 3 specific areas that first caught your attention. - 3 - Y,Please click 3 specific areas that first caught your attention. - 1 - X,Please click 3 specific areas that first caught your attention. - 1 - Y,Please click 3 specific areas that first caught your attention. - 2 - X,Please click 3 specific areas that first caught your attention. - 2 - Y,Please click 3 specific areas that first caught your attention. - 3 - X,Please click 3 specific areas that first caught your attention. - 3 - Y,Please click 3 specific areas that first caught your attention. - 1 - X,Please click 3 specific areas that first caught your attention. - 1 - Y,Please click 3 specific areas that first caught your attention. - 2 - X,Please click 3 specific areas that first caught your attention. - 2 - Y,Please click 3 specific areas that first caught your attention. - 3 - X,Please click 3 specific areas that first caught your attention. - 3 - Y,Click to write the question text - 1 - X,Click to write the question text - 1 - Y,Click to write the question text - 2 - X,Click to write the question text - 2 - Y,Click to write the question text - 3 - X,Click to write the question text - 3 - Y,Please click 3 specific areas that first caught your attention. - 1 - X,Please click 3 specific areas that first caught your attention. - 1 - Y,Please click 3 specific areas that first caught your attention. - 2 - X,Please click 3 specific areas that first caught your attention. - 2 - Y,Please click 3 specific areas that first caught your attention. - 3 - X,Please click 3 specific areas that first caught your attention. - 3 - Y
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID3""}","{""ImportId"":""QID3_4_TEXT""}","{""ImportId"":""QID4"",""point"":1,""coord"":""x""}","{""ImportId"":""QID4"",""point"":1,""coord"":""y""}","{""ImportId"":""QID4"",""point"":2,""coord"":""x""}","{""ImportId"":""QID4"",""point"":2,""coord"":""y""}","{""ImportId"":""QID4"",""point"":3,""coord"":""x""}","{""ImportId"":""QID4"",""point"":3,""coord"":""y""}","{""ImportId"":""QID5"",""point"":1,""coord"":""x""}","{""ImportId"":""QID5"",""point"":1,""coord"":""y""}","{""ImportId"":""QID5"",""point"":2,""coord"":""x""}","{""ImportId"":""QID5"",""point"":2,""coord"":""y""}","{""ImportId"":""QID5"",""point"":3,""coord"":""x""}","{""ImportId"":""QID5"",""point"":3,""coord"":""y""}","{""ImportId"":""QID6"",""point"":1,""coord"":""x""}","{""ImportId"":""QID6"",""point"":1,""coord"":""y""}","{""ImportId"":""QID6"",""point"":2,""coord"":""x""}","{""ImportId"":""QID6"",""point"":2,""coord"":""y""}","{""ImportId"":""QID6"",""point"":3,""coord"":""x""}","{""ImportId"":""QID6"",""point"":3,""coord"":""y""}","{""ImportId"":""QID7"",""point"":1,""coord"":""x""}","{""ImportId"":""QID7"",""point"":1,""coord"":""y""}","{""ImportId"":""QID7"",""point"":2,""coord"":""x""}","{""ImportId"":""QID7"",""point"":2,""coord"":""y""}","{""ImportId"":""QID7"",""point"":3,""coord"":""x""}","{""ImportId"":""QID7"",""point"":3,""coord"":""y""}","{""ImportId"":""QID8"",""point"":1,""coord"":""x""}","{""ImportId"":""QID8"",""point"":1,""coord"":""y""}","{""ImportId"":""QID8"",""point"":2,""coord"":""x""}","{""ImportId"":""QID8"",""point"":2,""coord"":""y""}","{""ImportId"":""QID8"",""point"":3,""coord"":""x""}","{""ImportId"":""QID8"",""point"":3,""coord"":""y""}","{""ImportId"":""QID9"",""point"":1,""coord"":""x""}","{""ImportId"":""QID9"",""point"":1,""coord"":""y""}","{""ImportId"":""QID9"",""point"":2,""coord"":""x""}","{""ImportId"":""QID9"",""point"":2,""coord"":""y""}","{""ImportId"":""QID9"",""point"":3,""coord"":""x""}","{""ImportId"":""QID9"",""point"":3,""coord"":""y""}","{""ImportId"":""QID10"",""point"":1,""coord"":""x""}","{""ImportId"":""QID10"",""point"":1,""coord"":""y""}","{""ImportId"":""QID10"",""point"":2,""coord"":""x""}","{""ImportId"":""QID10"",""point"":2,""coord"":""y""}","{""ImportId"":""QID10"",""point"":3,""coord"":""x""}","{""ImportId"":""QID10"",""point"":3,""coord"":""y""}","{""ImportId"":""QID11"",""point"":1,""coord"":""x""}","{""ImportId"":""QID11"",""point"":1,""coord"":""y""}","{""ImportId"":""QID11"",""point"":2,""coord"":""x""}","{""ImportId"":""QID11"",""point"":2,""coord"":""y""}","{""ImportId"":""QID11"",""point"":3,""coord"":""x""}","{""ImportId"":""QID11"",""point"":3,""coord"":""y""}"
2026-04-16 9:17:17,2026-04-16 9:18:03,1,,100,45,1,2026-04-16 9:18:03,R_7p54x6h6tKjo2gK,,,,,42.3464,-71.0975,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-17 11:59:38,2026-04-17 12:00:05,0,174.168.133.191,100,26,1,2026-04-17 12:00:05,R_6Nfcjc7xgWwOS1U,,,,,42.2463,-70.9972,anonymous,EN,3,2,,683,561,357,502,333,234,731,339,467,314,756,120,1874,1180,1255,1047,180,799,473,584,317,323,106,520,547,628,505,319,583,152,478,965,345,520,623,226,1209,733,1110,462,774,885,196,463,443,196,120,254
2026-04-19 12:21:09,2026-04-19 12:25:29,0,128.197.28.161,100,260,1,2026-04-19 12:25:29,R_3e4CJWx0l5dBNHk,,,,,42.3464,-71.0975,anonymous,EN,2,2,,620,117,383,128,241,636,329,172,736,296,183,404,1762,867,1071,467,1157,755,444,68,404,571,248,554,545,185,475,458,513,584,310,190,512,451,351,754,1086,408,334,634,1150,921,279,70,251,457,66,278
2026-04-20 17:06:38,2026-04-20 17:22:21,0,128.197.28.167,100,943,1,2026-04-20 17:22:22,R_50SkEGkrUFFAvdg,,,,,42.3464,-71.0975,anonymous,EN,3,1,,557,272,686,677,709,66,771,270,158,473,440,322,891,1093,178,1085,1248,159,80,433,338,399,729,432,276,561,231,528,517,277,480,648,445,1134,342,179,489,324,1031,355,827,908,136,408,351,428,485,495
2026-04-20 18:32:39,2026-04-20 18:33:25,0,174.226.91.246,100,45,1,2026-04-20 18:33:25,R_7fCIUe2SyQ0YVr3,,,,,42.3399,-71.1245,anonymous,EN,3,1,,366,166,681,278,1116,467,462,289,141,432,795,270,104,797,1090,744,992,471,162,514,193,98,392,386,528,488,155,745,534,152,470,499,446,1129,314,212,1468,1077,306,807,1100,564,224,456,132,325,273,276
2026-04-20 20:38:53,2026-04-20 20:39:21,0,73.119.127.199,100,28,1,2026-04-20 20:39:22,R_6nACFFVASMKTfLa,,,,,42.2904,-71.0712,anonymous,EN,2,2,,1018,272,655,323,280,417,187,428,382,373,787,236,740,945,277,913,1092,503,121,487,214,100,662,336,547,469,166,719,562,175,396,604,492,277,518,1094,844,888,1162,497,574,455,48,243,80,400,447,118
2026-04-20 20:39:28,2026-04-20 20:39:50,0,73.119.127.199,100,22,1,2026-04-20 20:39:50,R_1gX9f1Y1VAUN4wM,,,,,42.2904,-71.0712,anonymous,EN,2,2,,325,406,1094,321,742,592,781,379,402,448,158,445,1181,812,595,1072,271,812,176,537,371,441,548,173,163,696,463,416,376,160,448,712,495,247,505,1154,415,857,1175,565,523,437,264,299,89,398,400,406
2026-04-20 20:42:16,2026-04-20 20:43:10,0,185.190.141.30,100,54,1,2026-04-20 20:43:11,R_6RlQx2j9E77L1sJ,,,,,42.3602,-71.0594,anonymous,EN,3,1,,274,276,962,218,607,108,423,287,765,278,117,485,937,484,1832,1157,1212,859,322,362,119,452,146,79,503,447,135,762,219,447,430,216,430,1094,437,744,350,580,1335,1057,200,1101,166,111,259,425,416,182
