StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q2_4_TEXT,HI3_1_x,HI3_1_y,HI3_2_x,HI3_2_y,HI3_3_x,HI3_3_y,L3_1_x,L3_1_y,L3_2_x,L3_2_y,L3_3_x,L3_3_y,HI14_1_x,HI14_1_y,HI14_2_x,HI14_2_y,HI14_3_x,HI14_3_y,L11_1_x,L11_1_y,L11_2_x,L11_2_y,L11_3_x,L11_3_y,SP3_1_x,SP3_1_y,SP3_2_x,SP3_2_y,SP3_3_x,SP3_3_y,SP18_1_x,SP18_1_y,SP18_2_x,SP18_2_y,SP18_3_x,SP18_3_y,TH3_1_x,TH3_1_y,TH3_2_x,TH3_2_y,TH3_3_x,TH3_3_y,TH9_1_x,TH9_1_y,TH9_2_x,TH9_2_y,TH9_3_x,TH9_3_y
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,How old are you?,How do you describe yourself? - Selected Choice,How do you describe yourself? - Prefer to self-describe - Text,"In this study, you will be shown several advertisements. 

Please look at each image naturally and click the 3 specific areas that first caught your attention. - 1 - X","In this study, you will be shown several advertisements. 

Please look at each image naturally and click the 3 specific areas that first caught your attention. - 1 - Y","In this study, you will be shown several advertisements. 

Please look at each image naturally and click the 3 specific areas that first caught your attention. - 2 - X","In this study, you will be shown several advertisements. 

Please look at each image naturally and click the 3 specific areas that first caught your attention. - 2 - Y","In this study, you will be shown several advertisements. 

Please look at each image naturally and click the 3 specific areas that first caught your attention. - 3 - X","In this study, you will be shown several advertisements. 

Please look at each image naturally and click the 3 specific areas that first caught your attention. - 3 - Y",Please click the 3 specific areas that first caught your attention. - 1 - X,Please click the 3 specific areas that first caught your attention. - 1 - Y,Please click the 3 specific areas that first caught your attention. - 2 - X,Please click the 3 specific areas that first caught your attention. - 2 - Y,Please click the 3 specific areas that first caught your attention. - 3 - X,Please click the 3 specific areas that first caught your attention. - 3 - Y,Please click the 3 specific areas that first caught your attention. - 1 - X,Please click the 3 specific areas that first caught your attention. - 1 - Y,Please click the 3 specific areas that first caught your attention. - 2 - X,Please click the 3 specific areas that first caught your attention. - 2 - Y,Please click the 3 specific areas that first caught your attention. - 3 - X,Please click the 3 specific areas that first caught your attention. - 3 - Y,Please click the 3 specific areas that first caught your attention. - 1 - X,Please click the 3 specific areas that first caught your attention. - 1 - Y,Please click the 3 specific areas that first caught your attention. - 2 - X,Please click the 3 specific areas that first caught your attention. - 2 - Y,Please click the 3 specific areas that first caught your attention. - 3 - X,Please click the 3 specific areas that first caught your attention. - 3 - Y,Please click the 3 specific areas that first caught your attention. - 1 - X,Please click the 3 specific areas that first caught your attention. - 1 - Y,Please click the 3 specific areas that first caught your attention. - 2 - X,Please click the 3 specific areas that first caught your attention. - 2 - Y,Please click the 3 specific areas that first caught your attention. - 3 - X,Please click the 3 specific areas that first caught your attention. - 3 - Y,Please click the 3 specific areas that first caught your attention. - 1 - X,Please click the 3 specific areas that first caught your attention. - 1 - Y,Please click the 3 specific areas that first caught your attention. - 2 - X,Please click the 3 specific areas that first caught your attention. - 2 - Y,Please click the 3 specific areas that first caught your attention. - 3 - X,Please click the 3 specific areas that first caught your attention. - 3 - Y,Please click the 3 specific areas that first caught your attention. - 1 - X,Please click the 3 specific areas that first caught your attention. - 1 - Y,Please click the 3 specific areas that first caught your attention. - 2 - X,Please click the 3 specific areas that first caught your attention. - 2 - Y,Please click the 3 specific areas that first caught your attention. - 3 - X,Please click the 3 specific areas that first caught your attention. - 3 - Y,Please click the 3 specific areas that first caught your attention. - 1 - X,Please click the 3 specific areas that first caught your attention. - 1 - Y,Please click the 3 specific areas that first caught your attention. - 2 - X,Please click the 3 specific areas that first caught your attention. - 2 - Y,Please click the 3 specific areas that first caught your attention. - 3 - X,Please click the 3 specific areas that first caught your attention. - 3 - Y
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID10_4_TEXT""}","{""ImportId"":""QID1"",""point"":1,""coord"":""x""}","{""ImportId"":""QID1"",""point"":1,""coord"":""y""}","{""ImportId"":""QID1"",""point"":2,""coord"":""x""}","{""ImportId"":""QID1"",""point"":2,""coord"":""y""}","{""ImportId"":""QID1"",""point"":3,""coord"":""x""}","{""ImportId"":""QID1"",""point"":3,""coord"":""y""}","{""ImportId"":""QID2"",""point"":1,""coord"":""x""}","{""ImportId"":""QID2"",""point"":1,""coord"":""y""}","{""ImportId"":""QID2"",""point"":2,""coord"":""x""}","{""ImportId"":""QID2"",""point"":2,""coord"":""y""}","{""ImportId"":""QID2"",""point"":3,""coord"":""x""}","{""ImportId"":""QID2"",""point"":3,""coord"":""y""}","{""ImportId"":""QID3"",""point"":1,""coord"":""x""}","{""ImportId"":""QID3"",""point"":1,""coord"":""y""}","{""ImportId"":""QID3"",""point"":2,""coord"":""x""}","{""ImportId"":""QID3"",""point"":2,""coord"":""y""}","{""ImportId"":""QID3"",""point"":3,""coord"":""x""}","{""ImportId"":""QID3"",""point"":3,""coord"":""y""}","{""ImportId"":""QID4"",""point"":1,""coord"":""x""}","{""ImportId"":""QID4"",""point"":1,""coord"":""y""}","{""ImportId"":""QID4"",""point"":2,""coord"":""x""}","{""ImportId"":""QID4"",""point"":2,""coord"":""y""}","{""ImportId"":""QID4"",""point"":3,""coord"":""x""}","{""ImportId"":""QID4"",""point"":3,""coord"":""y""}","{""ImportId"":""QID5"",""point"":1,""coord"":""x""}","{""ImportId"":""QID5"",""point"":1,""coord"":""y""}","{""ImportId"":""QID5"",""point"":2,""coord"":""x""}","{""ImportId"":""QID5"",""point"":2,""coord"":""y""}","{""ImportId"":""QID5"",""point"":3,""coord"":""x""}","{""ImportId"":""QID5"",""point"":3,""coord"":""y""}","{""ImportId"":""QID6"",""point"":1,""coord"":""x""}","{""ImportId"":""QID6"",""point"":1,""coord"":""y""}","{""ImportId"":""QID6"",""point"":2,""coord"":""x""}","{""ImportId"":""QID6"",""point"":2,""coord"":""y""}","{""ImportId"":""QID6"",""point"":3,""coord"":""x""}","{""ImportId"":""QID6"",""point"":3,""coord"":""y""}","{""ImportId"":""QID7"",""point"":1,""coord"":""x""}","{""ImportId"":""QID7"",""point"":1,""coord"":""y""}","{""ImportId"":""QID7"",""point"":2,""coord"":""x""}","{""ImportId"":""QID7"",""point"":2,""coord"":""y""}","{""ImportId"":""QID7"",""point"":3,""coord"":""x""}","{""ImportId"":""QID7"",""point"":3,""coord"":""y""}","{""ImportId"":""QID8"",""point"":1,""coord"":""x""}","{""ImportId"":""QID8"",""point"":1,""coord"":""y""}","{""ImportId"":""QID8"",""point"":2,""coord"":""x""}","{""ImportId"":""QID8"",""point"":2,""coord"":""y""}","{""ImportId"":""QID8"",""point"":3,""coord"":""x""}","{""ImportId"":""QID8"",""point"":3,""coord"":""y""}"
2026-04-16 10:16:48,2026-04-16 10:17:36,1,,100,47,1,2026-04-16 10:17:37,R_3MGEOiOMgZoDAT7,,,,,42.2463,-70.9972,preview,EN,3,4,,712,503,577,502,585,384,1070,455,1111,279,781,476,953,402,785,463,785,356,2114,1105,1816,936,2174,708,793,392,542,362,642,324,7000,1753,6312,1052,6403,2259,534,199,519,117,239,175,1297,575,1017,575,1272,871
2026-04-17 11:57:53,2026-04-17 11:58:28,0,174.168.133.191,100,34,1,2026-04-17 11:58:28,R_7eri6LjxFwolSap,,,,,42.2463,-70.9972,anonymous,EN,3,2,,654,506,478,475,318,345,1101,133,1045,164,1148,342,656,614,887,503,862,887,1691,1135,1601,508,2088,864,518,340,785,459,812,294,5155,981,5077,2246,6289,2865,226,603,226,740,519,896,1079,1098,1082,916,939,522
2026-04-19 12:14:47,2026-04-19 12:16:24,0,128.197.28.161,100,96,1,2026-04-19 12:16:24,R_1hfJvuB9ynTVfTX,,,,,42.3464,-71.0975,anonymous,EN,2,2,,255,258,275,344,146,63,602,60,234,534,633,469,586,263,886,498,626,640,1147,326,1638,838,2002,554,504,374,733,367,736,489,4740,2441,3481,2428,5052,766,175,182,191,703,537,870,228,660,1069,1144,1058,951
2026-04-20 17:06:30,2026-04-20 17:17:14,0,128.197.28.167,100,644,1,2026-04-20 17:17:14,R_6GxjCyCIYqEN0Y8,,,,,42.3464,-71.0975,anonymous,EN,3,1,,319,353,223,248,644,508,586,484,1267,136,205,542,892,578,214,82,193,753,852,638,1904,719,1048,1291,416,348,690,619,494,58,1442,2818,8494,3129,5234,857,525,245,218,798,185,185,1288,1106,244,701,937,699
2026-04-20 18:29:08,2026-04-20 18:29:57,0,174.226.91.246,100,49,1,2026-04-20 18:29:57,R_58A8AjaNZXKRVp7,,,,,42.3399,-71.1245,anonymous,EN,3,1,,571,238,279,342,147,48,1084,190,613,549,233,470,937,623,247,146,167,703,1667,850,918,697,2440,1470,497,380,751,420,1099,87,5184,1873,8754,2809,1700,2412,204,132,166,657,194,419,263,701,348,263,1079,710
2026-04-20 20:40:41,2026-04-20 20:41:11,0,73.119.127.199,100,30,1,2026-04-20 20:41:11,R_5fm7bJaRQQYP3Ux,,,,,42.2904,-71.0712,anonymous,EN,2,2,,518,426,276,304,194,108,568,493,1069,259,1039,184,841,798,523,169,189,699,1063,932,1754,888,1514,124,417,427,821,424,1180,110,3261,2156,5310,1482,5795,3530,187,107,210,722,507,190,368,776,1011,643,1132,1007
2026-04-20 20:43:17,2026-04-20 20:44:02,0,185.190.141.30,100,44,1,2026-04-20 20:44:02,R_3IFGbRRgazc9CXn,,,,,42.3602,-71.0594,anonymous,EN,3,1,,130,48,471,468,251,342,638,523,1133,327,187,646,232,91,829,527,214,667,887,602,1365,108,1273,1721,475,376,1115,99,764,355,5029,1828,2514,2457,5629,3599,160,212,521,265,192,719,244,326,287,669,887,561
2026-04-20 20:57:07,2026-04-20 20:57:47,0,71.232.150.52,100,39,1,2026-04-20 20:57:47,R_7wWGC12PHG7EQmZ,,,,,42.3474,-71.1582,anonymous,EN,2,5,,303,364,499,495,146,73,625,455,1034,143,1153,347,356,241,859,631,309,977,1059,931,1924,745,1410,60,499,406,718,364,1156,85,5193,1603,6381,2820,5580,3622,189,234,184,717,535,189,994,895,319,725,982,530
