StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q2_4_TEXT,L4_1_x,L4_1_y,L4_2_x,L4_2_y,L4_3_x,L4_3_y,L10_1_x,L10_1_y,L10_2_x,L10_2_y,L10_3_x,L10_3_y,HI4_1_x,HI4_1_y,HI4_2_x,HI4_2_y,HI4_3_x,HI4_3_y,SP4_1_x,SP4_1_y,SP4_2_x,SP4_2_y,SP4_3_x,SP4_3_y,SP17_1_x,SP17_1_y,SP17_2_x,SP17_2_y,SP17_3_x,SP17_3_y,TH4_1_x,TH4_1_y,TH4_2_x,TH4_2_y,TH4_3_x,TH4_3_y,TH8_1_x,TH8_1_y,TH8_2_x,TH8_2_y,TH8_3_x,TH8_3_y,HI13_1_x,HI13_1_y,HI13_2_x,HI13_2_y,HI13_3_x,HI13_3_y
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,How old are you?,How do you describe yourself? - Selected Choice,How do you describe yourself? - Prefer to self-describe - Text,"In this study, you will be shown several advertisements. 

Please look at each image naturally and click the 3 specific areas that first caught your attention. - 1 - X","In this study, you will be shown several advertisements. 

Please look at each image naturally and click the 3 specific areas that first caught your attention. - 1 - Y","In this study, you will be shown several advertisements. 

Please look at each image naturally and click the 3 specific areas that first caught your attention. - 2 - X","In this study, you will be shown several advertisements. 

Please look at each image naturally and click the 3 specific areas that first caught your attention. - 2 - Y","In this study, you will be shown several advertisements. 

Please look at each image naturally and click the 3 specific areas that first caught your attention. - 3 - X","In this study, you will be shown several advertisements. 

Please look at each image naturally and click the 3 specific areas that first caught your attention. - 3 - Y",Please click the 3 specific areas that first caught your attention. - 1 - X,Please click the 3 specific areas that first caught your attention. - 1 - Y,Please click the 3 specific areas that first caught your attention. - 2 - X,Please click the 3 specific areas that first caught your attention. - 2 - Y,Please click the 3 specific areas that first caught your attention. - 3 - X,Please click the 3 specific areas that first caught your attention. - 3 - Y,Please click the 3 specific areas that first caught your attention. - 1 - X,Please click the 3 specific areas that first caught your attention. - 1 - Y,Please click the 3 specific areas that first caught your attention. - 2 - X,Please click the 3 specific areas that first caught your attention. - 2 - Y,Please click the 3 specific areas that first caught your attention. - 3 - X,Please click the 3 specific areas that first caught your attention. - 3 - Y,Please click the 3 specific areas that first caught your attention. - 1 - X,Please click the 3 specific areas that first caught your attention. - 1 - Y,Please click the 3 specific areas that first caught your attention. - 2 - X,Please click the 3 specific areas that first caught your attention. - 2 - Y,Please click the 3 specific areas that first caught your attention. - 3 - X,Please click the 3 specific areas that first caught your attention. - 3 - Y,Please click the 3 specific areas that first caught your attention. - 1 - X,Please click the 3 specific areas that first caught your attention. - 1 - Y,Please click the 3 specific areas that first caught your attention. - 2 - X,Please click the 3 specific areas that first caught your attention. - 2 - Y,Please click the 3 specific areas that first caught your attention. - 3 - X,Please click the 3 specific areas that first caught your attention. - 3 - Y,Please click the 3 specific areas that first caught your attention. - 1 - X,Please click the 3 specific areas that first caught your attention. - 1 - Y,Please click the 3 specific areas that first caught your attention. - 2 - X,Please click the 3 specific areas that first caught your attention. - 2 - Y,Please click the 3 specific areas that first caught your attention. - 3 - X,Please click the 3 specific areas that first caught your attention. - 3 - Y,Please click the 3 specific areas that first caught your attention. - 1 - X,Please click the 3 specific areas that first caught your attention. - 1 - Y,Please click the 3 specific areas that first caught your attention. - 2 - X,Please click the 3 specific areas that first caught your attention. - 2 - Y,Please click the 3 specific areas that first caught your attention. - 3 - X,Please click the 3 specific areas that first caught your attention. - 3 - Y,Please click the 3 specific areas that first caught your attention. - 1 - X,Please click the 3 specific areas that first caught your attention. - 1 - Y,Please click the 3 specific areas that first caught your attention. - 2 - X,Please click the 3 specific areas that first caught your attention. - 2 - Y,Please click the 3 specific areas that first caught your attention. - 3 - X,Please click the 3 specific areas that first caught your attention. - 3 - Y
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID10_4_TEXT""}","{""ImportId"":""QID1"",""point"":1,""coord"":""x""}","{""ImportId"":""QID1"",""point"":1,""coord"":""y""}","{""ImportId"":""QID1"",""point"":2,""coord"":""x""}","{""ImportId"":""QID1"",""point"":2,""coord"":""y""}","{""ImportId"":""QID1"",""point"":3,""coord"":""x""}","{""ImportId"":""QID1"",""point"":3,""coord"":""y""}","{""ImportId"":""QID2"",""point"":1,""coord"":""x""}","{""ImportId"":""QID2"",""point"":1,""coord"":""y""}","{""ImportId"":""QID2"",""point"":2,""coord"":""x""}","{""ImportId"":""QID2"",""point"":2,""coord"":""y""}","{""ImportId"":""QID2"",""point"":3,""coord"":""x""}","{""ImportId"":""QID2"",""point"":3,""coord"":""y""}","{""ImportId"":""QID3"",""point"":1,""coord"":""x""}","{""ImportId"":""QID3"",""point"":1,""coord"":""y""}","{""ImportId"":""QID3"",""point"":2,""coord"":""x""}","{""ImportId"":""QID3"",""point"":2,""coord"":""y""}","{""ImportId"":""QID3"",""point"":3,""coord"":""x""}","{""ImportId"":""QID3"",""point"":3,""coord"":""y""}","{""ImportId"":""QID4"",""point"":1,""coord"":""x""}","{""ImportId"":""QID4"",""point"":1,""coord"":""y""}","{""ImportId"":""QID4"",""point"":2,""coord"":""x""}","{""ImportId"":""QID4"",""point"":2,""coord"":""y""}","{""ImportId"":""QID4"",""point"":3,""coord"":""x""}","{""ImportId"":""QID4"",""point"":3,""coord"":""y""}","{""ImportId"":""QID5"",""point"":1,""coord"":""x""}","{""ImportId"":""QID5"",""point"":1,""coord"":""y""}","{""ImportId"":""QID5"",""point"":2,""coord"":""x""}","{""ImportId"":""QID5"",""point"":2,""coord"":""y""}","{""ImportId"":""QID5"",""point"":3,""coord"":""x""}","{""ImportId"":""QID5"",""point"":3,""coord"":""y""}","{""ImportId"":""QID6"",""point"":1,""coord"":""x""}","{""ImportId"":""QID6"",""point"":1,""coord"":""y""}","{""ImportId"":""QID6"",""point"":2,""coord"":""x""}","{""ImportId"":""QID6"",""point"":2,""coord"":""y""}","{""ImportId"":""QID6"",""point"":3,""coord"":""x""}","{""ImportId"":""QID6"",""point"":3,""coord"":""y""}","{""ImportId"":""QID7"",""point"":1,""coord"":""x""}","{""ImportId"":""QID7"",""point"":1,""coord"":""y""}","{""ImportId"":""QID7"",""point"":2,""coord"":""x""}","{""ImportId"":""QID7"",""point"":2,""coord"":""y""}","{""ImportId"":""QID7"",""point"":3,""coord"":""x""}","{""ImportId"":""QID7"",""point"":3,""coord"":""y""}","{""ImportId"":""QID8"",""point"":1,""coord"":""x""}","{""ImportId"":""QID8"",""point"":1,""coord"":""y""}","{""ImportId"":""QID8"",""point"":2,""coord"":""x""}","{""ImportId"":""QID8"",""point"":2,""coord"":""y""}","{""ImportId"":""QID8"",""point"":3,""coord"":""x""}","{""ImportId"":""QID8"",""point"":3,""coord"":""y""}"
2026-04-17 11:56:50,2026-04-17 11:57:48,0,174.168.133.191,100,57,1,2026-04-17 11:57:48,R_1ek7i5UiLTFpEOd,,,,,42.2463,-70.9972,anonymous,EN,3,2,,448,307,446,534,374,101,285,117,487,134,305,108,956,667,459,859,1294,300,102,437,126,357,284,186,930,540,782,580,1168,614,260,564,233,260,427,192,662,956,547,1037,841,783,665,456,509,446,341,547
2026-04-17 12:04:27,2026-04-17 12:05:05,0,174.168.133.191,100,37,1,2026-04-17 12:05:06,R_6KFPltKEeAwJ1Nn,,,,,42.2463,-70.9972,anonymous,EN,3,2,,487,281,425,523,564,534,463,262,490,142,467,89,489,876,1077,655,1307,275,307,272,201,193,307,188,559,733,752,139,1188,193,247,567,484,850,626,835,489,1034,421,857,854,805,425,718,215,756,610,434
2026-04-19 12:17:01,2026-04-19 12:18:42,0,128.197.28.161,100,101,1,2026-04-19 12:18:42,R_5lxCcHMToidJaOy,,,,,42.3464,-71.0975,anonymous,EN,2,2,,412,305,684,217,505,500,469,104,483,282,286,107,1292,244,810,453,953,697,184,169,264,41,291,178,925,402,945,107,616,758,229,575,198,127,420,139,700,942,137,120,837,801,510,220,105,103,668,393
2026-04-20 17:06:29,2026-04-20 17:15:48,0,128.197.28.167,100,559,1,2026-04-20 17:15:48,R_634wuucxsFi3d3Y,,,,,42.3464,-71.0975,anonymous,EN,3,1,,438,283,669,549,684,256,456,272,475,96,615,203,1290,303,959,549,448,931,168,178,303,180,314,353,1072,312,1172,212,948,723,224,588,599,850,188,106,563,126,580,154,550,178,500,439,174,251,677,703
2026-04-20 18:27:49,2026-04-20 18:28:59,0,174.226.91.246,100,69,1,2026-04-20 18:29:00,R_5rMl1s1YrwCvNtZ,,,,,42.3399,-71.1245,anonymous,EN,3,1,,501,284,467,511,96,142,494,103,466,268,103,260,363,896,959,574,1331,294,228,197,460,211,343,375,968,706,604,483,995,402,223,564,161,196,475,852,520,1057,826,792,520,316,129,129,655,693,149,568
2026-04-20 20:40:01,2026-04-20 20:40:30,0,73.119.127.199,100,28,1,2026-04-20 20:40:30,R_5aE600xvaObu3Bf,,,,,42.2904,-71.0712,anonymous,EN,2,2,,512,355,515,169,283,210,451,242,146,292,446,120,493,736,1113,666,1284,196,263,131,278,276,111,399,714,692,957,677,1190,661,228,539,452,220,552,747,582,1088,873,788,595,397,608,460,362,538,223,290
2026-04-20 20:45:14,2026-04-20 20:46:06,0,185.190.141.30,100,52,1,2026-04-20 20:46:06,R_7CP4RE7rQcztcAV,,,,,42.3602,-71.0594,anonymous,EN,3,1,,491,285,360,154,811,86,312,110,484,114,451,274,495,107,1250,306,403,927,186,169,101,416,300,184,976,537,773,554,1322,614,225,578,454,861,599,847,480,230,826,737,549,932,135,169,335,578,548,386
2026-04-20 20:55:51,2026-04-20 20:56:22,0,71.232.150.52,100,30,1,2026-04-20 20:56:22,R_3VPvRaTYq182c85,,,,,42.3474,-71.1582,anonymous,EN,2,2,,459,375,402,179,870,216,476,208,478,87,187,186,427,869,1235,381,922,699,258,169,120,387,303,334,930,711,702,706,1055,119,192,575,390,296,515,814,595,1060,789,768,299,313,365,659,156,595,601,379
