StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q2_4_TEXT,HI5_1_x,HI5_1_y,HI5_2_x,HI5_2_y,HI5_3_x,HI5_3_y,HI12_1_x,HI12_1_y,HI12_2_x,HI12_2_y,HI12_3_x,HI12_3_y,L5_1_x,L5_1_y,L5_2_x,L5_2_y,L5_3_x,L5_3_y,TH5_1_x,TH5_1_y,TH5_2_x,TH5_2_y,TH5_3_x,TH5_3_y,TH7_1_x,TH7_1_y,TH7_2_x,TH7_2_y,TH7_3_x,TH7_3_y,L9_1_x,L9_1_y,L9_2_x,L9_2_y,L9_3_x,L9_3_y,SP5_1_x,SP5_1_y,SP5_2_x,SP5_2_y,SP5_3_x,SP5_3_y,SP16_1_x,SP16_1_y,SP16_2_x,SP16_2_y,SP16_3_x,SP16_3_y
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,How old are you?,How do you describe yourself? - Selected Choice,How do you describe yourself? - Prefer to self-describe - Text,Please look at each image naturally and click 3 specific areas that first caught your attention. - 1 - X,Please look at each image naturally and click 3 specific areas that first caught your attention. - 1 - Y,Please look at each image naturally and click 3 specific areas that first caught your attention. - 2 - X,Please look at each image naturally and click 3 specific areas that first caught your attention. - 2 - Y,Please look at each image naturally and click 3 specific areas that first caught your attention. - 3 - X,Please look at each image naturally and click 3 specific areas that first caught your attention. - 3 - Y,Please click 3 specific areas that first caught your attention. - 1 - X,Please click 3 specific areas that first caught your attention. - 1 - Y,Please click 3 specific areas that first caught your attention. - 2 - X,Please click 3 specific areas that first caught your attention. - 2 - Y,Please click 3 specific areas that first caught your attention. - 3 - X,Please click 3 specific areas that first caught your attention. - 3 - Y,Please click 3 specific areas that first caught your attention. - 1 - X,Please click 3 specific areas that first caught your attention. - 1 - Y,Please click 3 specific areas that first caught your attention. - 2 - X,Please click 3 specific areas that first caught your attention. - 2 - Y,Please click 3 specific areas that first caught your attention. - 3 - X,Please click 3 specific areas that first caught your attention. - 3 - Y,Please click 3 specific areas that first caught your attention. - 1 - X,Please click 3 specific areas that first caught your attention. - 1 - Y,Please click 3 specific areas that first caught your attention. - 2 - X,Please click 3 specific areas that first caught your attention. - 2 - Y,Please click 3 specific areas that first caught your attention. - 3 - X,Please click 3 specific areas that first caught your attention. - 3 - Y,Please click 3 specific areas that first caught your attention. - 1 - X,Please click 3 specific areas that first caught your attention. - 1 - Y,Please click 3 specific areas that first caught your attention. - 2 - X,Please click 3 specific areas that first caught your attention. - 2 - Y,Please click 3 specific areas that first caught your attention. - 3 - X,Please click 3 specific areas that first caught your attention. - 3 - Y,Please click 3 specific areas that first caught your attention. - 1 - X,Please click 3 specific areas that first caught your attention. - 1 - Y,Please click 3 specific areas that first caught your attention. - 2 - X,Please click 3 specific areas that first caught your attention. - 2 - Y,Please click 3 specific areas that first caught your attention. - 3 - X,Please click 3 specific areas that first caught your attention. - 3 - Y,Click to write the question text - 1 - X,Click to write the question text - 1 - Y,Click to write the question text - 2 - X,Click to write the question text - 2 - Y,Click to write the question text - 3 - X,Click to write the question text - 3 - Y,Please click 3 specific areas that first caught your attention. - 1 - X,Please click 3 specific areas that first caught your attention. - 1 - Y,Please click 3 specific areas that first caught your attention. - 2 - X,Please click 3 specific areas that first caught your attention. - 2 - Y,Please click 3 specific areas that first caught your attention. - 3 - X,Please click 3 specific areas that first caught your attention. - 3 - Y
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID3""}","{""ImportId"":""QID3_4_TEXT""}","{""ImportId"":""QID4"",""point"":1,""coord"":""x""}","{""ImportId"":""QID4"",""point"":1,""coord"":""y""}","{""ImportId"":""QID4"",""point"":2,""coord"":""x""}","{""ImportId"":""QID4"",""point"":2,""coord"":""y""}","{""ImportId"":""QID4"",""point"":3,""coord"":""x""}","{""ImportId"":""QID4"",""point"":3,""coord"":""y""}","{""ImportId"":""QID5"",""point"":1,""coord"":""x""}","{""ImportId"":""QID5"",""point"":1,""coord"":""y""}","{""ImportId"":""QID5"",""point"":2,""coord"":""x""}","{""ImportId"":""QID5"",""point"":2,""coord"":""y""}","{""ImportId"":""QID5"",""point"":3,""coord"":""x""}","{""ImportId"":""QID5"",""point"":3,""coord"":""y""}","{""ImportId"":""QID6"",""point"":1,""coord"":""x""}","{""ImportId"":""QID6"",""point"":1,""coord"":""y""}","{""ImportId"":""QID6"",""point"":2,""coord"":""x""}","{""ImportId"":""QID6"",""point"":2,""coord"":""y""}","{""ImportId"":""QID6"",""point"":3,""coord"":""x""}","{""ImportId"":""QID6"",""point"":3,""coord"":""y""}","{""ImportId"":""QID7"",""point"":1,""coord"":""x""}","{""ImportId"":""QID7"",""point"":1,""coord"":""y""}","{""ImportId"":""QID7"",""point"":2,""coord"":""x""}","{""ImportId"":""QID7"",""point"":2,""coord"":""y""}","{""ImportId"":""QID7"",""point"":3,""coord"":""x""}","{""ImportId"":""QID7"",""point"":3,""coord"":""y""}","{""ImportId"":""QID8"",""point"":1,""coord"":""x""}","{""ImportId"":""QID8"",""point"":1,""coord"":""y""}","{""ImportId"":""QID8"",""point"":2,""coord"":""x""}","{""ImportId"":""QID8"",""point"":2,""coord"":""y""}","{""ImportId"":""QID8"",""point"":3,""coord"":""x""}","{""ImportId"":""QID8"",""point"":3,""coord"":""y""}","{""ImportId"":""QID9"",""point"":1,""coord"":""x""}","{""ImportId"":""QID9"",""point"":1,""coord"":""y""}","{""ImportId"":""QID9"",""point"":2,""coord"":""x""}","{""ImportId"":""QID9"",""point"":2,""coord"":""y""}","{""ImportId"":""QID9"",""point"":3,""coord"":""x""}","{""ImportId"":""QID9"",""point"":3,""coord"":""y""}","{""ImportId"":""QID10"",""point"":1,""coord"":""x""}","{""ImportId"":""QID10"",""point"":1,""coord"":""y""}","{""ImportId"":""QID10"",""point"":2,""coord"":""x""}","{""ImportId"":""QID10"",""point"":2,""coord"":""y""}","{""ImportId"":""QID10"",""point"":3,""coord"":""x""}","{""ImportId"":""QID10"",""point"":3,""coord"":""y""}","{""ImportId"":""QID11"",""point"":1,""coord"":""x""}","{""ImportId"":""QID11"",""point"":1,""coord"":""y""}","{""ImportId"":""QID11"",""point"":2,""coord"":""x""}","{""ImportId"":""QID11"",""point"":2,""coord"":""y""}","{""ImportId"":""QID11"",""point"":3,""coord"":""x""}","{""ImportId"":""QID11"",""point"":3,""coord"":""y""}"
2026-04-17 11:58:35,2026-04-17 11:59:03,0,174.168.133.191,100,27,1,2026-04-17 11:59:04,R_6MRQR72H9lLcXHp,,,,,42.2463,-70.9972,anonymous,EN,3,2,,242,106,83,90,214,53,618,280,440,68,417,469,297,136,102,197,,,111,146,83,68,211,260,624,1160,626,468,1038,568,756,566,466,686,544,165,739,340,443,442,349,160,347,244,128,286,345,306
2026-04-19 12:26:08,2026-04-19 12:27:36,0,128.197.28.161,100,88,1,2026-04-19 12:27:37,R_10VDb7pdsOVqTgV,,,,,42.3464,-71.0975,anonymous,EN,3,2,,177,52,217,42,46,120,414,78,593,294,596,411,67,166,272,164,22,21,72,125,72,160,168,182,517,160,662,282,654,1012,762,174,463,145,494,665,703,76,448,351,294,186,135,247,385,267,149,139
2026-04-20 17:06:32,2026-04-20 17:19:59,0,128.197.28.167,100,807,1,2026-04-20 17:20:00,R_6n7ak1eLvLXVAtM,,,,,42.3464,-71.0975,anonymous,EN,3,1,,109,38,139,42,114,81,453,80,829,225,390,482,341,78,334,223,88,214,72,117,199,269,97,203,701,471,950,547,232,1214,497,686,150,108,495,164,718,90,498,415,665,291,357,132,148,264,361,268
2026-04-20 18:30:05,2026-04-20 18:31:19,0,174.226.91.246,100,74,1,2026-04-20 18:31:20,R_6PoiIgKe4P3n23A,,,,,42.3399,-71.1245,anonymous,EN,3,1,,51,113,145,27,243,141,110,97,584,378,348,519,332,187,60,178,93,31,87,131,166,189,185,278,483,56,751,557,1022,531,867,381,482,619,537,121,715,100,506,431,324,288,343,252,190,285,304,138
2026-04-20 20:37:58,2026-04-20 20:38:33,0,73.119.127.199,100,35,1,2026-04-20 20:38:34,R_5tsNSpTly4zqeMZ,,,,,42.2904,-71.0712,anonymous,EN,2,2,,221,83,35,126,163,33,577,391,414,106,138,263,349,136,70,180,,,237,275,138,161,74,62,506,129,675,243,650,1068,857,595,540,158,461,630,718,96,698,375,482,425,345,286,138,257,257,382
2026-04-20 20:40:55,2026-04-20 20:42:10,0,185.190.141.30,100,74,1,2026-04-20 20:42:10,R_7SwCVS43X2YcSdb,,,,,42.3602,-71.0594,anonymous,EN,3,1,,230,62,221,149,101,72,392,504,105,134,611,288,298,167,69,192,332,87,60,120,125,179,190,302,471,103,960,569,167,1144,242,644,443,165,461,684,315,210,705,299,469,433,148,275,343,275,238,383
2026-04-20 20:53:44,2026-04-20 20:54:56,0,71.232.150.52,100,71,1,2026-04-20 20:54:57,R_52rtOyVqP3Hy22D,,,,,42.3474,-71.1582,anonymous,EN,2,5,,234,138,129,69,66,114,118,136,945,73,619,389,80,209,309,155,68,3,71,109,116,184,191,279,662,1082,696,539,456,149,486,635,477,167,271,587,688,348,350,190,496,432,331,268,122,268,250,125
2026-04-20 20:54:32,2026-04-20 20:55:05,0,71.232.150.52,100,33,1,2026-04-20 20:55:05,R_35Y1VjZO7Q5WjE0,,,,,42.3474,-71.1582,anonymous,EN,2,2,,158,79,246,101,57,12,394,473,400,72,107,452,78,187,344,3,317,260,68,88,182,296,72,223,593,1104,250,914,568,132,445,662,488,154,221,641,681,275,705,107,453,444,328,270,95,236,273,401
